Image,Category,Mean,Std,Edge_Density,Edge_Strength,Texture_Variance,Noise,Prediction
0007.jpg,real,133.30,41.30,0.2041,139.41,2673.85,15.40,REAL
0008 (10).jpg,real,109.73,67.06,0.3086,141.84,2285.83,14.06,MAYBE_AI
0008 (2).jpg,real,127.46,47.63,0.2812,125.32,2110.56,13.17,REAL
0008 (3).jpg,real,127.82,27.02,0.1846,67.46,774.66,7.29,REAL
0008 (4).jpg,real,74.38,50.11,0.2197,124.98,1283.22,11.07,REAL
0008 (5).jpg,real,122.58,31.36,0.3242,132.29,2504.84,14.19,MAYBE_AI
0008 (6).jpg,real,133.31,50.35,0.2764,128.17,1607.53,11.69,REAL
0008 (7).jpg,real,101.88,22.80,0.3066,82.12,788.39,7.84,REAL
0008 (8).jpg,real,187.13,42.70,0.2285,131.95,2616.90,14.88,REAL
0008 (9).jpg,real,118.25,41.07,0.1436,93.17,1256.37,10.90,REAL
0008.jpg,real,136.20,18.28,0.0322,22.90,175.06,3.87,REAL
0009 (10).jpg,real,136.44,51.57,0.2666,181.83,3876.15,19.00,REAL
0009 (2).jpg,real,95.38,42.75,0.3457,167.41,3243.85,17.16,MAYBE_AI
0009 (3).jpg,real,26.20,30.25,0.1621,66.13,953.45,8.45,REAL
0009 (4).jpg,real,91.55,30.52,0.2842,105.92,1143.49,9.85,REAL
0009 (5).jpg,real,110.57,64.65,0.2637,167.69,3828.72,18.28,REAL
0009 (6).jpg,real,116.10,76.86,0.2080,102.88,1998.65,12.27,REAL
0009 (7).jpg,real,131.38,37.74,0.2354,126.32,1766.90,12.29,REAL
0009 (8).jpg,real,180.32,72.41,0.1348,88.08,1098.00,9.98,REAL
0009 (9).jpg,real,208.08,59.95,0.1387,111.72,1650.33,12.36,REAL
0009.jpg,real,207.87,72.63,0.1494,168.12,4889.09,19.80,REAL
0010 (10).jpg,real,127.26,47.08,0.2822,145.14,3487.28,16.40,REAL
0010 (2).jpg,real,160.82,69.44,0.2725,199.88,6603.96,23.06,REAL
0010 (3).jpg,real,151.00,54.09,0.1113,95.26,1128.62,10.37,REAL
0010 (4).jpg,real,130.22,73.14,0.3018,149.29,3079.66,15.29,MAYBE_AI
0010 (5).jpg,real,166.70,36.73,0.3701,112.96,2173.83,12.42,MAYBE_AI
0010 (6).jpg,real,139.65,57.18,0.2246,159.83,2352.68,14.82,REAL
0010 (7).jpg,real,65.56,57.61,0.2764,163.51,2464.46,15.08,REAL
0010 (8).jpg,real,160.87,65.73,0.2373,129.15,1776.23,12.99,REAL
0010 (9).jpg,real,163.13,52.36,0.1621,89.49,990.81,9.29,REAL
0010.jpg,real,154.40,65.71,0.2793,205.49,5068.45,22.01,REAL
0011 (10).jpg,real,133.31,66.25,0.2695,167.68,3857.64,17.52,REAL
0011 (2).jpg,real,163.14,67.69,0.2598,157.21,3444.53,16.85,REAL
0011 (3).jpg,real,152.25,34.02,0.2246,99.70,1993.25,11.85,REAL
0011 (4).jpg,real,93.17,42.49,0.2100,112.56,1824.81,12.45,REAL
0011 (5).jpg,real,122.39,24.37,0.2275,78.97,1035.48,9.18,REAL
0011 (6).jpg,real,110.28,84.25,0.2744,233.07,3594.17,19.13,REAL
0011 (7).jpg,real,111.07,38.68,0.3262,142.49,2327.69,13.92,MAYBE_AI
0011 (8).jpg,real,120.16,92.39,0.2314,164.80,4225.67,18.02,REAL
0011 (9).jpg,real,159.81,67.68,0.2480,144.38,2402.36,14.61,REAL
0011.jpg,real,135.19,37.68,0.2275,102.55,1320.59,10.96,REAL
0012 (10).jpg,real,115.50,69.48,0.3242,189.33,4663.86,20.28,MAYBE_AI
0012 (2).jpg,real,70.96,55.95,0.2061,139.51,2972.63,16.33,REAL
0012 (3).jpg,real,141.70,44.75,0.2891,110.83,736.73,8.79,REAL
0012 (4).jpg,real,111.62,61.93,0.2324,152.67,2081.43,14.09,REAL
0012 (5).jpg,real,130.13,48.65,0.2061,113.04,1404.95,11.15,REAL
0012 (6).jpg,real,90.62,46.84,0.2305,123.99,1181.46,10.58,REAL
0012 (7).jpg,real,93.14,46.96,0.2402,125.11,1725.17,12.53,REAL
0012 (8).jpg,real,119.04,63.29,0.3174,165.50,4305.45,18.20,MAYBE_AI
0012 (9).jpg,real,175.26,53.16,0.1895,106.29,1768.08,12.19,REAL
0012.jpg,real,118.23,40.19,0.2578,119.51,2988.68,14.34,REAL
0013 (10).jpg,real,141.29,44.44,0.1367,89.79,1359.66,11.47,REAL
0013 (2).jpg,real,89.75,49.77,0.3066,173.81,4887.88,19.71,MAYBE_AI
0013 (3).jpg,real,109.13,23.78,0.3418,96.22,1353.42,10.46,REAL
0013 (4).jpg,real,77.70,61.18,0.0693,73.05,889.78,9.24,REAL
0013 (5).jpg,real,93.44,19.95,0.2637,80.24,928.44,8.71,REAL
0013 (6).jpg,real,103.62,30.93,0.2246,85.61,1115.19,9.76,REAL
0013 (7).jpg,real,119.00,53.24,0.2900,131.89,1732.51,12.18,REAL
0013 (8).jpg,real,144.37,31.80,0.2988,108.05,1858.61,12.16,REAL
0013 (9).jpg,real,132.20,65.77,0.3008,174.48,3996.31,17.76,MAYBE_AI
0013.jpg,real,157.45,60.10,0.2373,174.17,6331.11,21.27,REAL
0014 (10).jpg,real,106.89,76.12,0.2715,157.78,2819.65,15.55,REAL
0014 (2).jpg,real,138.38,73.63,0.1602,108.51,1149.35,10.26,REAL
0014 (3).jpg,real,114.84,74.62,0.2637,187.24,3236.88,17.09,REAL
0014 (4).jpg,real,107.29,57.64,0.3193,159.47,2213.48,13.92,MAYBE_AI
0014 (5).jpg,real,180.09,80.67,0.1914,157.61,3398.22,17.38,REAL
0014 (6).jpg,real,150.19,53.76,0.3350,149.77,2018.09,13.39,MAYBE_AI
0014 (7).jpg,real,132.17,42.67,0.3232,163.46,5697.76,19.81,MAYBE_AI
0014 (8).jpg,real,159.28,60.72,0.2773,145.53,2045.49,13.17,REAL
0014 (9).jpg,real,152.43,47.69,0.2070,92.35,1316.92,10.43,REAL
0014.jpg,real,102.41,62.17,0.1328,78.30,336.86,5.57,REAL
0015 (10).jpg,real,135.38,66.35,0.2900,158.46,2882.68,15.23,REAL
0015 (2).jpg,real,87.77,48.10,0.3311,144.98,2622.19,14.78,MAYBE_AI
0015 (3).jpg,real,96.18,68.07,0.2656,161.26,2436.31,14.49,REAL
0015 (4).jpg,real,100.44,46.33,0.2627,118.73,1296.45,10.86,REAL
0015 (5).jpg,real,110.42,68.07,0.2432,166.66,1703.36,13.35,REAL
0015 (6).jpg,real,105.07,31.58,0.2480,92.92,569.63,7.65,REAL
0015 (7).jpg,real,108.29,37.67,0.3877,178.54,6662.36,20.88,MAYBE_AI
0015 (8).jpg,real,112.68,41.59,0.2900,143.00,2480.16,15.13,REAL
0015 (9).jpg,real,151.27,48.98,0.1885,91.31,454.89,6.96,REAL
0015.jpg,real,128.37,70.47,0.1396,93.03,1080.73,10.15,REAL
0016 (10).jpg,real,158.28,59.45,0.3398,203.31,5222.15,21.03,MAYBE_AI
0016 (2).jpg,real,137.87,84.71,0.2988,249.97,9425.50,29.55,MAYBE_AI
0016 (3).jpg,real,184.64,31.35,0.2031,72.56,743.07,7.80,REAL
0016 (4).jpg,real,127.20,29.36,0.2471,89.31,1329.20,10.09,REAL
0016 (5).jpg,real,95.49,34.37,0.2578,98.11,941.90,9.40,REAL
0016 (6).jpg,real,178.31,61.57,0.2998,176.28,2915.40,16.79,REAL
0016 (7).jpg,real,56.24,62.56,0.1992,130.39,2435.72,14.48,REAL
0016 (8).jpg,real,110.45,34.43,0.3555,126.50,2135.29,12.89,MAYBE_AI
0016 (9).jpg,real,123.38,37.21,0.1572,84.99,591.65,7.66,REAL
0016.jpg,real,132.61,60.56,0.2871,159.49,2712.14,15.43,REAL
0017 (10).jpg,real,149.57,62.83,0.2578,168.41,6553.28,21.57,REAL
0017 (2).jpg,real,74.59,53.40,0.2646,137.14,3382.53,16.11,REAL
0017 (3).jpg,real,151.00,57.53,0.0869,94.30,1100.14,10.14,REAL
0017 (4).jpg,real,170.93,50.87,0.1699,118.94,1733.23,12.29,REAL
0017 (5).jpg,real,167.93,39.67,0.1816,107.61,1899.25,12.44,REAL
0017 (6).jpg,real,165.92,51.58,0.3477,152.14,2825.77,15.43,MAYBE_AI
0017 (7).jpg,real,75.27,35.33,0.3760,130.93,2110.03,13.27,MAYBE_AI
0017 (8).jpg,real,99.99,86.70,0.2168,167.59,2972.67,15.95,REAL
0017 (9).jpg,real,122.98,55.24,0.3027,162.50,2774.30,15.73,MAYBE_AI
0017.jpg,real,176.94,65.15,0.1611,130.70,3211.00,16.91,REAL
0018 (10).jpg,real,136.36,30.26,0.3096,101.69,962.75,9.31,REAL
0018 (2).jpg,real,124.88,48.93,0.3174,156.30,2737.58,15.65,MAYBE_AI
0018 (3).jpg,real,141.61,37.59,0.2539,138.54,2680.18,14.53,REAL
0018 (4).jpg,real,127.76,48.42,0.3262,141.42,1069.81,10.62,REAL
0018 (5).jpg,real,75.82,18.42,0.0684,59.14,463.60,6.22,REAL
0018 (6).jpg,real,121.18,67.28,0.2822,144.68,1427.84,11.69,REAL
0018 (7).jpg,real,156.95,45.00,0.2070,101.86,1645.33,10.84,REAL
0018 (8).jpg,real,90.24,65.77,0.3115,245.48,7355.54,24.62,MAYBE_AI
0018 (9).jpg,real,136.97,81.45,0.2129,157.07,2900.78,15.70,REAL
0018.jpg,real,119.16,39.71,0.1768,104.13,1872.42,13.22,REAL
0019 (10).jpg,real,102.83,50.12,0.2920,181.80,5038.28,19.98,REAL
0019 (2).jpg,real,128.73,35.46,0.2637,106.09,1459.44,11.11,REAL
0019 (3).jpg,real,115.81,19.37,0.2783,70.24,825.68,7.66,REAL
0019 (4).jpg,real,160.77,29.49,0.2959,93.88,858.43,9.10,REAL
0019 (5).jpg,real,128.48,42.29,0.2168,93.58,894.15,8.98,REAL
0019 (6).jpg,real,144.08,38.42,0.3271,132.60,1786.87,12.78,REAL
0019 (7).jpg,real,127.99,30.96,0.2666,95.31,1206.95,9.66,REAL
0019 (8).jpg,real,150.02,44.48,0.2725,155.11,3813.70,17.58,REAL
0019 (9).jpg,real,138.54,71.85,0.2783,223.95,6386.19,23.78,REAL
0019.jpg,real,117.02,60.63,0.2725,194.76,3272.60,17.72,REAL
0020 (10).jpg,real,129.55,80.32,0.2559,188.96,3159.77,16.91,REAL
0020 (2).jpg,real,100.74,56.30,0.3555,190.50,5737.79,22.52,MAYBE_AI
0020 (3).jpg,real,78.69,26.49,0.2393,84.96,1363.65,10.27,REAL
0020 (4).jpg,real,95.24,57.55,0.3301,162.01,3178.07,15.66,MAYBE_AI
0020 (5).jpg,real,74.26,44.98,0.3428,127.04,1387.34,10.95,REAL
0020 (6).jpg,real,196.93,56.64,0.1475,136.71,2270.65,14.35,REAL
0020 (7).jpg,real,189.50,55.28,0.2568,135.88,2639.25,13.93,REAL
0020 (8).jpg,real,112.62,37.09,0.2539,104.89,1246.98,10.45,REAL
0020 (9).jpg,real,159.05,58.72,0.2031,128.54,2451.75,14.66,REAL
0020.jpg,real,73.52,34.90,0.1104,82.59,1337.74,10.68,REAL
0021 (10).jpg,real,138.62,58.80,0.2422,111.97,1506.39,11.36,REAL
0021 (2).jpg,real,176.42,79.90,0.2109,173.78,2596.66,15.89,REAL
0021 (3).jpg,real,135.08,43.97,0.3154,149.06,3494.53,16.37,MAYBE_AI
0021 (4).jpg,real,76.66,81.97,0.1904,181.99,2792.70,16.73,REAL
0021 (5).jpg,real,130.53,49.60,0.3584,143.73,2433.66,13.88,MAYBE_AI
0021 (6).jpg,real,88.13,73.50,0.2568,171.32,2775.06,16.45,REAL
0021 (7).jpg,real,60.36,36.59,0.3232,103.52,1398.87,10.50,REAL
0021 (8).jpg,real,180.80,77.36,0.1943,163.94,4782.06,19.73,REAL
0021 (9).jpg,real,158.93,46.05,0.2754,82.95,591.12,7.50,REAL
0021.jpg,real,208.42,60.99,0.1650,137.90,2023.40,13.49,REAL
0022 (10).jpg,real,124.92,64.88,0.2715,150.11,2184.92,14.26,REAL
0022 (2).jpg,real,62.61,62.41,0.2266,138.66,3126.68,15.47,REAL
0022 (3).jpg,real,124.48,36.25,0.3398,141.94,2353.32,13.90,MAYBE_AI
0022 (4).jpg,real,81.77,60.63,0.2051,142.49,2196.42,14.57,REAL
0022 (5).jpg,real,124.12,26.50,0.1191,62.08,584.89,7.11,REAL
0022 (6).jpg,real,98.08,78.33,0.2256,210.98,3900.06,18.75,REAL
0022 (7).jpg,real,83.05,39.01,0.3320,139.35,2003.71,12.85,MAYBE_AI
0022 (8).jpg,real,144.33,58.22,0.3008,165.04,1947.16,13.79,REAL
0022 (9).jpg,real,98.15,49.32,0.1504,120.50,1315.92,11.32,REAL
0022.jpg,real,120.88,31.15,0.1191,92.82,1970.02,13.17,REAL
0023 (10).jpg,real,148.82,64.31,0.2588,159.70,2431.68,15.44,REAL
0023 (2).jpg,real,105.75,63.60,0.3320,209.85,7443.87,23.34,MAYBE_AI
0023 (3).jpg,real,47.60,56.55,0.2490,138.27,2933.76,15.86,REAL
0023 (4).jpg,real,101.81,45.69,0.3350,140.04,2396.84,14.40,MAYBE_AI
0023 (5).jpg,real,122.56,47.75,0.2988,145.93,2316.02,13.58,REAL
0023 (6).jpg,real,210.65,52.37,0.2070,136.81,2152.08,14.47,REAL
0023 (7).jpg,real,101.63,62.33,0.3135,194.05,4346.21,19.46,MAYBE_AI
0023 (8).jpg,real,184.76,56.92,0.2783,118.62,1347.34,10.91,REAL
0023 (9).jpg,real,140.37,29.89,0.1328,81.36,1375.18,10.90,REAL
0023.jpg,real,130.39,87.42,0.2617,137.30,2222.94,13.92,REAL
0024 (10).jpg,real,130.41,63.20,0.3262,221.50,6199.44,23.18,MAYBE_AI
0024 (2).jpg,real,161.51,66.90,0.1602,110.80,2033.11,13.46,REAL
0024 (3).jpg,real,144.13,50.26,0.2764,132.47,1627.73,11.80,REAL
0024 (4).jpg,real,162.14,46.40,0.2656,124.53,1843.74,12.60,REAL
0024 (5).jpg,real,88.03,52.00,0.3232,166.54,2424.22,14.88,MAYBE_AI
0024 (6).jpg,real,187.21,68.62,0.2227,173.22,3384.14,17.63,REAL
0024 (7).jpg,real,108.82,34.40,0.3506,139.39,3019.72,15.03,MAYBE_AI
0024 (8).jpg,real,73.29,38.90,0.3027,125.21,1814.98,12.43,REAL
0024 (9).jpg,real,135.42,51.36,0.2891,154.92,2349.72,14.75,REAL
0024.jpg,real,104.36,39.90,0.2129,106.70,2007.78,12.74,REAL
0025 (10).jpg,real,105.23,56.44,0.2686,158.09,2891.27,15.66,REAL
0025 (2).jpg,real,99.89,58.92,0.3330,195.81,4591.22,19.35,MAYBE_AI
0025 (3).jpg,real,138.26,33.65,0.2471,100.59,770.51,8.57,REAL
0025 (4).jpg,real,51.58,60.79,0.1602,118.75,1051.87,10.43,REAL
0025 (5).jpg,real,105.63,44.75,0.3135,132.73,1931.40,13.07,REAL
0025 (6).jpg,real,137.51,45.64,0.2627,133.68,1459.35,11.54,REAL
0025 (7).jpg,real,55.39,32.91,0.2754,104.88,1230.31,10.12,REAL
0025 (8).jpg,real,136.07,46.83,0.3008,154.53,2946.28,15.84,MAYBE_AI
0025 (9).jpg,real,133.76,66.02,0.2666,167.62,2553.54,15.66,REAL
0025.jpg,real,143.88,49.76,0.2441,122.22,1013.19,10.17,REAL
0026 (10).jpg,real,133.93,69.70,0.2598,175.30,2852.29,16.70,REAL
0026 (2).jpg,real,105.06,59.51,0.3350,167.01,2585.48,15.52,MAYBE_AI
0026 (3).jpg,real,113.37,21.60,0.1816,70.16,1093.00,8.95,REAL
0026 (4).jpg,real,118.55,45.42,0.3447,160.39,2626.80,14.87,MAYBE_AI
0026 (5).jpg,real,144.29,61.07,0.2715,143.16,1591.20,12.83,REAL
0026 (6).jpg,real,85.18,48.48,0.1572,97.36,1030.94,9.39,REAL
0026 (7).jpg,real,90.77,42.49,0.2998,108.86,1049.95,9.68,REAL
0026 (8).jpg,real,121.38,61.28,0.2061,172.60,4464.17,19.89,REAL
0026 (9).jpg,real,211.76,23.20,0.1924,63.62,692.15,7.90,REAL
0026.jpg,real,164.65,87.43,0.1484,157.94,3380.78,18.11,REAL
0027 (10).jpg,real,137.68,56.08,0.1738,71.66,542.65,7.35,REAL
0027 (2).jpg,real,115.17,60.47,0.3125,161.39,2423.56,15.55,MAYBE_AI
0027 (3).jpg,real,102.22,60.30,0.2197,167.25,1814.61,13.90,REAL
0027 (4).jpg,real,92.59,68.99,0.2773,168.39,3317.81,17.19,REAL
0027 (5).jpg,real,171.12,69.77,0.2549,148.82,3279.53,16.78,REAL
0027 (6).jpg,real,149.94,61.42,0.2598,144.45,2135.74,13.65,REAL
0027 (7).jpg,real,113.93,56.90,0.1523,82.89,1250.31,9.51,REAL
0027 (8).jpg,real,110.91,48.34,0.2754,116.52,1486.23,11.33,REAL
0027 (9).jpg,real,141.93,42.50,0.2715,109.93,1355.67,10.98,REAL
0027.jpg,real,150.41,64.33,0.2803,126.81,1410.59,11.66,REAL
0028 (10).jpg,real,124.66,65.00,0.3291,226.02,5193.83,21.33,MAYBE_AI
0028 (2).jpg,real,97.05,43.16,0.3105,129.46,2304.25,13.54,MAYBE_AI
0028 (3).jpg,real,149.31,34.84,0.2422,94.80,720.40,8.20,REAL
0028 (4).jpg,real,102.16,75.61,0.2793,231.48,4151.15,19.98,REAL
0028 (5).jpg,real,150.87,32.45,0.2383,92.05,1578.04,12.43,REAL
0028 (6).jpg,real,95.95,52.90,0.2686,137.58,1835.00,12.77,REAL
0028 (7).jpg,real,116.68,55.25,0.3330,176.58,3081.32,15.97,MAYBE_AI
0028 (8).jpg,real,127.69,33.27,0.3232,115.67,2047.95,13.38,MAYBE_AI
0028 (9).jpg,real,128.12,38.59,0.1396,86.63,1828.21,11.98,REAL
0028.jpg,real,143.75,50.85,0.2207,121.38,2044.46,12.82,REAL
0029 (10).jpg,real,66.75,21.12,0.2148,75.65,1110.70,9.21,REAL
0029 (2).jpg,real,98.39,45.80,0.2881,135.92,3801.00,16.59,REAL
0029 (3).jpg,real,58.41,45.54,0.1836,103.41,1432.62,10.85,REAL
0029 (4).jpg,real,116.12,43.69,0.2998,126.77,1660.71,11.91,REAL
0029 (5).jpg,real,120.00,40.79,0.2568,98.11,1059.04,9.79,REAL
0029 (6).jpg,real,113.24,33.93,0.3203,125.05,1403.26,11.55,REAL
0029 (7).jpg,real,70.24,41.25,0.3232,155.60,3550.52,16.52,MAYBE_AI
0029 (8).jpg,real,112.56,22.56,0.2754,93.76,1392.03,10.88,REAL
0029 (9).jpg,real,144.04,50.48,0.2334,137.58,1937.03,12.95,REAL
0029.jpg,real,202.00,24.71,0.1250,56.13,326.28,5.66,REAL
0030 (10).jpg,real,102.30,68.00,0.3447,220.18,4899.52,21.24,MAYBE_AI
0030 (2).jpg,real,126.58,43.38,0.3701,141.03,3251.51,15.33,MAYBE_AI
0030 (3).jpg,real,141.57,37.32,0.3467,131.19,5660.23,18.23,MAYBE_AI
0030 (4).jpg,real,140.81,31.95,0.2432,80.46,538.77,6.99,REAL
0030 (5).jpg,real,60.28,27.03,0.3311,116.77,1907.02,12.48,REAL
0030 (6).jpg,real,105.54,60.09,0.2061,140.26,1643.90,12.30,REAL
0030 (7).jpg,real,159.50,35.37,0.2842,98.57,1241.15,9.73,REAL
0030 (8).jpg,real,136.99,53.14,0.3604,172.46,3753.67,18.14,MAYBE_AI
0030 (9).jpg,real,237.45,25.34,0.1748,62.39,865.34,8.34,REAL
0030.jpg,real,100.75,70.34,0.2676,201.12,8314.50,26.44,MAYBE_AI
0031 (10).jpg,real,119.06,61.54,0.2607,197.13,4102.98,19.20,REAL
0031 (2).jpg,real,123.37,54.92,0.2354,164.03,3072.38,16.43,REAL
0031 (3).jpg,real,160.39,16.05,0.1084,43.78,664.06,6.94,REAL
0031 (4).jpg,real,113.32,42.71,0.1201,74.37,610.45,7.33,REAL
0031 (5).jpg,real,45.59,38.39,0.2490,96.45,633.16,7.54,REAL
0031 (6).jpg,real,130.74,44.04,0.2295,119.30,1557.75,12.10,REAL
0031 (7).jpg,real,94.64,27.44,0.3428,113.50,2101.80,12.61,MAYBE_AI
0031 (8).jpg,real,146.25,61.08,0.3760,164.35,5368.75,18.82,MAYBE_AI
0031 (9).jpg,real,88.37,36.15,0.2695,112.15,2877.67,14.39,REAL
0031.jpg,real,113.95,38.92,0.2744,131.69,1305.89,11.49,REAL
0032 (10).jpg,real,120.18,45.97,0.3076,177.65,4040.48,18.56,MAYBE_AI
0032 (2).jpg,real,88.74,42.74,0.2842,147.95,2811.48,15.62,REAL
0032 (3).jpg,real,193.06,75.29,0.1318,146.10,3754.10,17.75,REAL
0032 (4).jpg,real,129.88,36.30,0.2979,112.81,1597.72,10.84,REAL
0032 (5).jpg,real,112.74,37.59,0.3496,133.07,2473.00,14.05,MAYBE_AI
